user_ID,playlist,timestamp
1,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2023-12-12 07:51:30 433160
2,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2023-12-12 09:34:39 493269
3,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2023-12-12 12:04:14 735216
4,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2023-12-13 03:39:31 429275
5,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2023-12-13 04:43:47 926645
6,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2023-12-13 05:43:59 649258
7,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2023-12-13 08:10:46 626840
8,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2023-12-14 03:43:32 989707
9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2023-12-14 05:12:09 667693
10,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2023-12-14 09:23:13 721435
11,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2023-12-14 10:58:03 994152
12,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2023-12-14 12:08:59 925371
13,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2023-12-15 03:22:21 844231
14,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2023-12-15 04:25:09 495437
15,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2023-12-15 05:30:13 172862
16,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2023-12-15 07:58:51 484257
17,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2023-12-15 09:05:58 836558
18,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-08 04:46:55 560311
19,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-08 06:00:48 206899
20,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-08 07:50:51 875753
21,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-09 04:48:23 737047
22,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-09 05:53:42 355066
23,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-09 10:12:34 096361
24,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-09 11:32:05 358435
25,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-10 03:36:36 981669
26,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-10 04:42:46 715408
27,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-10 06:06:59 452972
28,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-10 08:03:52 931720
29,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-10 12:00:17 338217
30,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-11 03:39:43 588831
31,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-11 04:45:15 176304
32,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-11 05:54:37 064334
33,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-11 11:22:53 502646
34,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-12 07:06:34 737158
35,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-12 07:57:05 277656
36,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-12 10:42:11 982323
37,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-16 04:54:56 356673
38,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-16 05:49:08 709875
39,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-16 10:19:38 387677
40,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-16 11:23:19 950606
41,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-17 07:07:57 761485
42,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-17 08:25:14 462024
43,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-17 09:42:30 183195
44,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-17 10:51:57 836399
45,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-18 09:10:22 207735
46,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-18 10:06:49 420747
47,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-18 11:13:52 063514
48,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-22 07:02:48 603144
49,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-22 07:52:12 721070
50,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-22 10:12:34 952538
