user_ID,playlist,timestamp
1,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2023-12-06 03:20:29 180317
2,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2023-12-06 04:46:46 797632
3,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2023-12-06 09:21:16 544509
4,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2023-12-07 03:23:33 887339
5,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2023-12-07 05:51:24 379102
6,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2023-12-07 09:40:41 890231
7,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2023-12-08 09:23:44 158402
8,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2023-12-08 10:38:06 021868
9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2023-12-11 04:39:57 723925
10,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2023-12-11 05:52:46 878522
11,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2023-12-11 07:45:58 499005
12,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2023-12-11 09:04:23 559440
13,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2023-12-12 03:23:40 004120
14,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2023-12-12 04:22:55 964643
15,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2023-12-12 06:06:59 731606
16,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2023-12-12 07:49:11 261042
17,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-22 10:18:20 314781
18,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-23 05:08:36 962390
19,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-23 06:16:46 484776
20,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-24 07:04:14 705397
21,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-25 09:26:33 789405
22,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-25 10:24:22 246876
23,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-25 12:08:44 464499
24,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-30 09:33:49 727295
25,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-30 10:26:12 111990
26,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-31 03:36:26 285974
27,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-31 04:32:21 668998
28,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-31 05:53:39 678880
29,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-01-31 10:21:05 656163
30,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-02-01 03:41:37 051579
31,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-02-01 04:53:50 649291
32,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-02-29 04:42:21 254419
33,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-02-29 05:58:30 384257
34,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-02-29 08:27:43 549307
35,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-02-29 09:31:40 800059
36,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-02-29 10:38:07 026926
37,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-03-06 10:56:09 657678
38,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-03-07 03:51:41 332085
39,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-03-07 05:20:55 773963
40,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2024-03-07 08:08:58 666418
